Date,Time,Dark,TelNr,Instrument,Account,PI,Institution,ProjCode,
2021-07-08,10:27 - 14:56 ( 50%),100,1,HIRESr,hires1,Lauren Weiss,NASA,N048,
2021-07-09,05:58 - 10:27 ( 50%),100,1,OSIRIS-LGS,osiris4,Andrea Ghez,UCLA,U017,
2021-07-09,10:27 - 14:56 ( 50%),100,1,HIRESr,hires1,Lauren Weiss,NASA,N048,
2021-07-10,05:58 - 14:56 (100%),96,1,HIRESr,hires1,Lauren Weiss,UH,H047,
2021-07-11,05:58 - 14:57 (100%),88,1,HIRESr,hires1,Lauren Weiss,UH,H047,
2021-07-12,05:58 - 10:27 ( 50%),80,1,OSIRIS-LGS,osiris5,David Bennett,NASA,N164,
2021-07-12,10:27 - 14:57 ( 50%),80,1,HIRESr,hires1,Natalie Batalha,UCSC,U111,
2021-07-13,05:58 - 10:28 ( 50%),72,1,OSIRIS-LGS,osiris5,David Bennett,NASA,N164,
2021-07-13,10:28 - 14:58 ( 50%),72,1,HIRESr,hires1,Andrew Howard,NASA,N012,
2021-07-14,05:57 - 14:58 (100%),65,1,LRIS-ADC,lris3,Ilaria Caiazzo,CIT,C291,
2021-07-15,05:57 - 08:12 ( 25%),58,1,HIRESr,hires1,Andrew Howard,CIT,C013,
2021-07-15,08:12 - 12:43 ( 50%),58,1,HIRESr,hires1,Katherine de Kleer,CIT,C294,
2021-07-15,12:43 - 14:59 ( 25%),58,1,HIRESr,hires1,Andrew Howard,CIT,C013,
2021-07-16,05:57 - 10:28 ( 50%),51,1,OSIRIS-LGS,osiris6,Andrea Ghez,UCLA,U017,
2021-07-16,10:28 - 14:59 ( 50%),51,1,HIRESr,hires1,Natalie Batalha,UCSC,U111,
2021-07-17,05:57 - 10:28 ( 50%),44,1,OSIRIS-LGS,osiris6,Andrea Ghez,UCLA,U017,
2021-07-17,10:28 - 15:00 ( 50%),44,1,HIRESr,hires1,Natalie Batalha,UCSC,U111,
2021-07-18,05:56 - 10:28 ( 50%),35,1,OSIRIS-LGS,osiris6,Andrea Ghez,UCLA,U017,
2021-07-18,10:28 - 15:00 ( 50%),35,1,HIRESr,hires1,Natalie Batalha,UCSC,U111,
2021-07-19,05:56 - 10:28 ( 50%),26,1,HIRESr,hires1,Lauren Weiss,NASA,N048,
2021-07-19,10:28 - 15:00 ( 50%),26,1,HIRESr,hires1,Imke de Pater,UCB,U027,
2021-07-20,05:56 - 10:29 ( 50%),16,1,HIRESr,hires1,Lauren Weiss,NASA,N048,
2021-07-20,10:29 - 15:01 ( 50%),16,1,HIRESr,hires1,Imke de Pater,UCB,U027,
2021-07-21,05:55 - 15:01 (100%),5,1,HIRESr,hires1,Lauren Weiss,UH,H047,
2021-07-22,05:55 - 15:02 (100%),0,1,HIRESr,hires1,Lauren Weiss,UH,H047,
2021-07-23,05:55 - 08:11 ( 25%),0,1,HIRESr,hires1,Ian Crossfield,NASA,N180,
2021-07-23,08:11 - 15:02 ( 75%),0,1,HIRESr,hires1,Andrew Howard,NASA,N012,
2021-07-24,05:54 - 15:03 (100%),0,1,HIRESr,hires1,Andrew Howard,CIT,C013,
2021-07-25,05:54 - 10:29 ( 50%),8,1,OSIRIS-LGS,osiris7, Engineering,KECK,E333,
2021-07-25,10:29 - 15:03 ( 50%),8,1,HIRESr,hires1,Andrew Howard,CIT,C013,
